Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Experience_Age_Ratio
Bachelors,2017,Bangalore,3,34,Male,No,0,0,0.0
Bachelors,2013,Pune,1,28,Female,No,3,1,0.10714285714285714
Bachelors,2014,New Delhi,3,38,Female,No,2,0,0.05263157894736842
Masters,2016,Bangalore,3,27,Male,No,5,1,0.18518518518518517
Masters,2017,Pune,3,24,Male,Yes,2,1,0.08333333333333333
Bachelors,2016,Bangalore,3,22,Male,No,0,0,0.0
Bachelors,2015,New Delhi,3,38,Male,No,0,0,0.0
Bachelors,2016,Bangalore,3,34,Female,No,2,1,0.058823529411764705
Bachelors,2016,Pune,3,23,Male,No,1,0,0.043478260869565216
Masters,2017,New Delhi,2,37,Male,No,2,0,0.05405405405405406
Masters,2012,Bangalore,3,27,Male,No,5,1,0.18518518518518517
Bachelors,2016,Pune,3,34,Male,No,3,0,0.08823529411764706
Bachelors,2018,Pune,3,32,Male,Yes,5,1,0.15625
Bachelors,2016,Bangalore,3,39,Male,No,2,0,0.05128205128205128
Bachelors,2012,Bangalore,3,37,Male,No,4,0,0.10810810810810811
Bachelors,2017,Bangalore,1,29,Male,No,3,0,0.10344827586206896
Bachelors,2014,Bangalore,3,34,Female,No,2,0,0.058823529411764705
Bachelors,2014,Pune,3,34,Male,No,4,0,0.11764705882352941
Bachelors,2015,Pune,2,30,Female,No,0,1,0.0
Bachelors,2016,New Delhi,2,22,Female,No,0,1,0.0
Bachelors,2012,Bangalore,3,37,Male,No,0,0,0.0
Masters,2017,New Delhi,2,28,Male,No,4,0,0.14285714285714285
Bachelors,2017,New Delhi,2,36,Male,No,3,0,0.08333333333333333
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,0.18518518518518517
Bachelors,2017,Bangalore,3,29,Male,No,4,0,0.13793103448275862
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,0.0
Bachelors,2016,Bangalore,3,37,Male,No,2,0,0.05405405405405406
Bachelors,2015,Bangalore,3,23,Male,No,1,0,0.043478260869565216
Bachelors,2013,Pune,2,31,Female,No,2,1,0.06451612903225806
Masters,2017,New Delhi,2,30,Female,No,2,0,0.06666666666666667
PHD,2013,New Delhi,3,25,Male,No,3,0,0.12
Bachelors,2014,Bangalore,3,23,Male,No,1,0,0.043478260869565216
Bachelors,2018,Bangalore,3,26,Male,No,4,1,0.15384615384615385
Bachelors,2016,Bangalore,3,40,Male,No,5,0,0.125
Bachelors,2017,Pune,2,37,Female,No,0,1,0.0
Bachelors,2014,Bangalore,1,30,Female,No,3,0,0.1
Bachelors,2012,New Delhi,3,29,Male,No,3,0,0.10344827586206896
Bachelors,2018,New Delhi,2,34,Female,No,0,1,0.0
Bachelors,2017,Pune,2,29,Female,No,2,1,0.06896551724137931
Bachelors,2014,Pune,3,30,Male,Yes,4,0,0.13333333333333333
Bachelors,2015,Bangalore,3,36,Male,No,1,0,0.027777777777777776
Masters,2017,New Delhi,2,23,Male,No,1,0,0.043478260869565216
Bachelors,2013,Bangalore,3,30,Male,No,3,1,0.1
Bachelors,2014,Bangalore,3,36,Male,No,0,0,0.0
Bachelors,2015,Pune,3,39,Male,No,4,0,0.10256410256410256
Bachelors,2014,Bangalore,3,23,Female,No,1,0,0.043478260869565216
PHD,2012,New Delhi,3,27,Male,No,5,0,0.18518518518518517
Masters,2013,New Delhi,3,35,Male,No,2,0,0.05714285714285714
Masters,2017,New Delhi,2,34,Male,No,0,0,0.0
Bachelors,2013,Bangalore,3,30,Female,No,1,0,0.03333333333333333
PHD,2017,New Delhi,3,34,Male,No,2,0,0.058823529411764705
Bachelors,2015,Pune,2,26,Female,No,4,1,0.15384615384615385
Bachelors,2016,Bangalore,3,34,Female,No,0,0,0.0
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,0.16129032258064516
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,0.16129032258064516
PHD,2013,New Delhi,3,28,Male,No,2,0,0.07142857142857142
Bachelors,2016,Bangalore,3,38,Male,No,2,0,0.05263157894736842
Masters,2014,Pune,3,39,Female,No,2,0,0.05128205128205128
Bachelors,2013,Pune,3,32,Male,No,4,0,0.125
Masters,2017,Pune,2,36,Male,No,2,1,0.05555555555555555
Masters,2013,New Delhi,3,29,Male,No,3,0,0.10344827586206896
Bachelors,2015,Bangalore,3,30,Male,No,5,0,0.16666666666666666
PHD,2013,Bangalore,2,25,Male,No,3,1,0.12
Bachelors,2014,Pune,1,22,Female,No,0,1,0.0
Bachelors,2016,Bangalore,3,34,Male,No,4,0,0.11764705882352941
Bachelors,2018,Bangalore,3,40,Male,No,1,1,0.025
PHD,2013,Bangalore,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2014,New Delhi,3,28,Male,No,0,0,0.0
Bachelors,2015,Bangalore,3,24,Female,No,2,0,0.08333333333333333
Masters,2017,Bangalore,3,40,Female,No,2,1,0.05
Bachelors,2018,Bangalore,3,23,Female,No,1,1,0.043478260869565216
Masters,2017,Bangalore,3,31,Male,No,4,0,0.12903225806451613
Bachelors,2014,Pune,3,25,Female,No,3,0,0.12
Bachelors,2014,Bangalore,1,27,Male,No,5,0,0.18518518518518517
Masters,2017,New Delhi,2,25,Female,No,3,1,0.12
Bachelors,2015,Bangalore,3,40,Male,No,0,1,0.0
Bachelors,2014,Bangalore,1,23,Female,No,1,0,0.043478260869565216
Bachelors,2017,Bangalore,3,23,Female,No,1,0,0.043478260869565216
Bachelors,2012,Bangalore,3,39,Male,No,1,0,0.02564102564102564
PHD,2015,New Delhi,1,37,Male,No,1,0,0.02702702702702703
Bachelors,2017,Pune,3,38,Male,No,2,0,0.05263157894736842
Bachelors,2013,Bangalore,3,31,Female,No,0,1,0.0
Bachelors,2016,Bangalore,3,38,Male,No,5,0,0.13157894736842105
Bachelors,2017,Bangalore,3,25,Female,No,3,0,0.12
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,0.18518518518518517
Bachelors,2016,Pune,2,36,Male,No,0,1,0.0
